age_band,gender,region,income,occupation_group,weight
18–29,Female,Atlantic,$50k–$100k,Management & professional,9258
18–29,Female,Atlantic,$50k–$100k,Not in labour force,11704
18–29,Female,Atlantic,$50k–$100k,Production & transport,592
18–29,Female,Atlantic,$50k–$100k,Sales & office,4519
18–29,Female,Atlantic,$50k–$100k,Service,19368
18–29,Female,Atlantic,$50k–$100k,Trades & natural resources,444
18–29,Female,Atlantic,$50k–$100k,Unemployed,7001
18–29,Female,Atlantic,Over $100k,Management & professional,14112
18–29,Female,Atlantic,Over $100k,Not in labour force,13556
18–29,Female,Atlantic,Over $100k,Production & transport,1037
18–29,Female,Atlantic,Over $100k,Sales & office,5925
18–29,Female,Atlantic,Over $100k,Service,20703
18–29,Female,Atlantic,Over $100k,Trades & natural resources,666
18–29,Female,Atlantic,Over $100k,Unemployed,9334
18–29,Female,Atlantic,Under $50k,Management & professional,2704
18–29,Female,Atlantic,Under $50k,Not in labour force,9334
18–29,Female,Atlantic,Under $50k,Production & transport,111
18–29,Female,Atlantic,Under $50k,Sales & office,1592
18–29,Female,Atlantic,Under $50k,Service,8703
18–29,Female,Atlantic,Under $50k,Trades & natural resources,74
18–29,Female,Atlantic,Under $50k,Unemployed,4483
18–29,Female,British Columbia,$50k–$100k,Management & professional,20481
18–29,Female,British Columbia,$50k–$100k,Not in labour force,21000
18–29,Female,British Columbia,$50k–$100k,Production & transport,1889
18–29,Female,British Columbia,$50k–$100k,Sales & office,12666
18–29,Female,British Columbia,$50k–$100k,Service,32703
18–29,Female,British Columbia,$50k–$100k,Trades & natural resources,1481
18–29,Female,British Columbia,$50k–$100k,Unemployed,8333
18–29,Female,British Columbia,Over $100k,Management & professional,41036
18–29,Female,British Columbia,Over $100k,Not in labour force,39073
18–29,Female,British Columbia,Over $100k,Production & transport,4518
18–29,Female,British Columbia,Over $100k,Sales & office,23444
18–29,Female,British Columbia,Over $100k,Service,66184
18–29,Female,British Columbia,Over $100k,Trades & natural resources,2926
18–29,Female,British Columbia,Over $100k,Unemployed,17222
18–29,Female,British Columbia,Under $50k,Management & professional,9407
18–29,Female,British Columbia,Under $50k,Not in labour force,17148
18–29,Female,British Columbia,Under $50k,Production & transport,630
18–29,Female,British Columbia,Under $50k,Sales & office,4111
18–29,Female,British Columbia,Under $50k,Service,15592
18–29,Female,British Columbia,Under $50k,Trades & natural resources,741
18–29,Female,British Columbia,Under $50k,Unemployed,6592
18–29,Female,Ontario,$50k–$100k,Management & professional,53557
18–29,Female,Ontario,$50k–$100k,Not in labour force,74224
18–29,Female,Ontario,$50k–$100k,Production & transport,7074
18–29,Female,Ontario,$50k–$100k,Sales & office,25038
18–29,Female,Ontario,$50k–$100k,Service,67779
18–29,Female,Ontario,$50k–$100k,Trades & natural resources,3111
18–29,Female,Ontario,$50k–$100k,Unemployed,44371
18–29,Female,Ontario,Over $100k,Management & professional,146003
18–29,Female,Ontario,Over $100k,Not in labour force,134151
18–29,Female,Ontario,Over $100k,Production & transport,13297
18–29,Female,Ontario,Over $100k,Sales & office,63520
18–29,Female,Ontario,Over $100k,Service,164930
18–29,Female,Ontario,Over $100k,Trades & natural resources,8111
18–29,Female,Ontario,Over $100k,Unemployed,99743
18–29,Female,Ontario,Under $50k,Management & professional,19593
18–29,Female,Ontario,Under $50k,Not in labour force,52668
18–29,Female,Ontario,Under $50k,Production & transport,2148
18–29,Female,Ontario,Under $50k,Sales & office,10445
18–29,Female,Ontario,Under $50k,Service,25075
18–29,Female,Ontario,Under $50k,Trades & natural resources,1296
18–29,Female,Ontario,Under $50k,Unemployed,21926
18–29,Female,Prairies,$50k–$100k,Management & professional,22213
18–29,Female,Prairies,$50k–$100k,Not in labour force,35616
18–29,Female,Prairies,$50k–$100k,Production & transport,1666
18–29,Female,Prairies,$50k–$100k,Sales & office,14476
18–29,Female,Prairies,$50k–$100k,Service,44243
18–29,Female,Prairies,$50k–$100k,Trades & natural resources,2592
18–29,Female,Prairies,$50k–$100k,Unemployed,16548
18–29,Female,Prairies,Over $100k,Management & professional,53791
18–29,Female,Prairies,Over $100k,Not in labour force,49794
18–29,Female,Prairies,Over $100k,Production & transport,4257
18–29,Female,Prairies,Over $100k,Sales & office,27727
18–29,Female,Prairies,Over $100k,Service,81409
18–29,Female,Prairies,Over $100k,Trades & natural resources,5294
18–29,Female,Prairies,Over $100k,Unemployed,30947
18–29,Female,Prairies,Under $50k,Management & professional,7701
18–29,Female,Prairies,Under $50k,Not in labour force,23326
18–29,Female,Prairies,Under $50k,Production & transport,888
18–29,Female,Prairies,Under $50k,Sales & office,5220
18–29,Female,Prairies,Under $50k,Service,20770
18–29,Female,Prairies,Under $50k,Trades & natural resources,963
18–29,Female,Prairies,Under $50k,Unemployed,9181
18–29,Female,Quebec,$50k–$100k,Management & professional,46350
18–29,Female,Quebec,$50k–$100k,Not in labour force,35123
18–29,Female,Quebec,$50k–$100k,Production & transport,3742
18–29,Female,Quebec,$50k–$100k,Sales & office,22082
18–29,Female,Quebec,$50k–$100k,Service,65060
18–29,Female,Quebec,$50k–$100k,Trades & natural resources,2964
18–29,Female,Quebec,$50k–$100k,Unemployed,13116
18–29,Female,Quebec,Over $100k,Management & professional,72359
18–29,Female,Quebec,Over $100k,Not in labour force,42830
18–29,Female,Quebec,Over $100k,Production & transport,3705
18–29,Female,Quebec,Over $100k,Sales & office,30900
18–29,Female,Quebec,Over $100k,Service,94218
18–29,Female,Quebec,Over $100k,Trades & natural resources,3223
18–29,Female,Quebec,Over $100k,Unemployed,16673
18–29,Female,Quebec,Under $50k,Management & professional,18710
18–29,Female,Quebec,Under $50k,Not in labour force,27306
18–29,Female,Quebec,Under $50k,Production & transport,2594
18–29,Female,Quebec,Under $50k,Sales & office,9411
18–29,Female,Quebec,Under $50k,Service,33790
18–29,Female,Quebec,Under $50k,Trades & natural resources,1186
18–29,Female,Quebec,Under $50k,Unemployed,10633
18–29,Female,Territories,$50k–$100k,Management & professional,148
18–29,Female,Territories,$50k–$100k,Not in labour force,887
18–29,Female,Territories,$50k–$100k,Sales & office,185
18–29,Female,Territories,$50k–$100k,Service,296
18–29,Female,Territories,$50k–$100k,Unemployed,222
18–29,Female,Territories,Over $100k,Management & professional,480
18–29,Female,Territories,Over $100k,Not in labour force,1404
18–29,Female,Territories,Over $100k,Production & transport,37
18–29,Female,Territories,Over $100k,Sales & office,369
18–29,Female,Territories,Over $100k,Service,776
18–29,Female,Territories,Over $100k,Unemployed,702
18–29,Female,Territories,Under $50k,Management & professional,111
18–29,Female,Territories,Under $50k,Not in labour force,406
18–29,Female,Territories,Under $50k,Service,148
18–29,Female,Territories,Under $50k,Unemployed,37
18–29,Male,Atlantic,$50k–$100k,Management & professional,8037
18–29,Male,Atlantic,$50k–$100k,Not in labour force,9630
18–29,Male,Atlantic,$50k–$100k,Production & transport,5370
18–29,Male,Atlantic,$50k–$100k,Sales & office,1889
18–29,Male,Atlantic,$50k–$100k,Service,12408
18–29,Male,Atlantic,$50k–$100k,Trades & natural resources,8073
18–29,Male,Atlantic,$50k–$100k,Unemployed,7518
18–29,Male,Atlantic,Over $100k,Management & professional,9592
18–29,Male,Atlantic,Over $100k,Not in labour force,14222
18–29,Male,Atlantic,Over $100k,Production & transport,6035
18–29,Male,Atlantic,Over $100k,Sales & office,2851
18–29,Male,Atlantic,Over $100k,Service,15741
18–29,Male,Atlantic,Over $100k,Trades & natural resources,11962
18–29,Male,Atlantic,Over $100k,Unemployed,11815
18–29,Male,Atlantic,Under $50k,Management & professional,3111
18–29,Male,Atlantic,Under $50k,Not in labour force,7927
18–29,Male,Atlantic,Under $50k,Production & transport,1926
18–29,Male,Atlantic,Under $50k,Sales & office,1111
18–29,Male,Atlantic,Under $50k,Service,6148
18–29,Male,Atlantic,Under $50k,Trades & natural resources,2703
18–29,Male,Atlantic,Under $50k,Unemployed,4260
18–29,Male,British Columbia,$50k–$100k,Management & professional,19037
18–29,Male,British Columbia,$50k–$100k,Not in labour force,19629
18–29,Male,British Columbia,$50k–$100k,Production & transport,8926
18–29,Male,British Columbia,$50k–$100k,Sales & office,5592
18–29,Male,British Columbia,$50k–$100k,Service,20185
18–29,Male,British Columbia,$50k–$100k,Trades & natural resources,14666
18–29,Male,British Columbia,$50k–$100k,Unemployed,9963
18–29,Male,British Columbia,Over $100k,Management & professional,35962
18–29,Male,British Columbia,Over $100k,Not in labour force,40184
18–29,Male,British Columbia,Over $100k,Production & transport,24444
18–29,Male,British Columbia,Over $100k,Sales & office,11111
18–29,Male,British Columbia,Over $100k,Service,44592
18–29,Male,British Columbia,Over $100k,Trades & natural resources,36629
18–29,Male,British Columbia,Over $100k,Unemployed,21037
18–29,Male,British Columbia,Under $50k,Management & professional,7852
18–29,Male,British Columbia,Under $50k,Not in labour force,17777
18–29,Male,British Columbia,Under $50k,Production & transport,4222
18–29,Male,British Columbia,Under $50k,Sales & office,2148
18–29,Male,British Columbia,Under $50k,Service,8704
18–29,Male,British Columbia,Under $50k,Trades & natural resources,4741
18–29,Male,British Columbia,Under $50k,Unemployed,6407
18–29,Male,Ontario,$50k–$100k,Management & professional,50371
18–29,Male,Ontario,$50k–$100k,Not in labour force,69557
18–29,Male,Ontario,$50k–$100k,Production & transport,25371
18–29,Male,Ontario,$50k–$100k,Sales & office,13074
18–29,Male,Ontario,$50k–$100k,Service,45445
18–29,Male,Ontario,$50k–$100k,Trades & natural resources,33816
18–29,Male,Ontario,$50k–$100k,Unemployed,40742
18–29,Male,Ontario,Over $100k,Management & professional,135818
18–29,Male,Ontario,Over $100k,Not in labour force,137818
18–29,Male,Ontario,Over $100k,Production & transport,67076
18–29,Male,Ontario,Over $100k,Sales & office,39890
18–29,Male,Ontario,Over $100k,Service,123632
18–29,Male,Ontario,Over $100k,Trades & natural resources,96447
18–29,Male,Ontario,Over $100k,Unemployed,96372
18–29,Male,Ontario,Under $50k,Management & professional,17111
18–29,Male,Ontario,Under $50k,Not in labour force,48001
18–29,Male,Ontario,Under $50k,Production & transport,9000
18–29,Male,Ontario,Under $50k,Sales & office,5111
18–29,Male,Ontario,Under $50k,Service,16741
18–29,Male,Ontario,Under $50k,Trades & natural resources,8593
18–29,Male,Ontario,Under $50k,Unemployed,20000
18–29,Male,Prairies,$50k–$100k,Management & professional,21213
18–29,Male,Prairies,$50k–$100k,Not in labour force,28693
18–29,Male,Prairies,$50k–$100k,Production & transport,13291
18–29,Male,Prairies,$50k–$100k,Sales & office,6961
18–29,Male,Prairies,$50k–$100k,Service,25546
18–29,Male,Prairies,$50k–$100k,Trades & natural resources,27878
18–29,Male,Prairies,$50k–$100k,Unemployed,17511
18–29,Male,Prairies,Over $100k,Management & professional,38870
18–29,Male,Prairies,Over $100k,Not in labour force,50940
18–29,Male,Prairies,Over $100k,Production & transport,27839
18–29,Male,Prairies,Over $100k,Sales & office,13068
18–29,Male,Prairies,Over $100k,Service,56790
18–29,Male,Prairies,Over $100k,Trades & natural resources,56865
18–29,Male,Prairies,Over $100k,Unemployed,36426
18–29,Male,Prairies,Under $50k,Management & professional,7997
18–29,Male,Prairies,Under $50k,Not in labour force,18104
18–29,Male,Prairies,Under $50k,Production & transport,5294
18–29,Male,Prairies,Under $50k,Sales & office,2332
18–29,Male,Prairies,Under $50k,Service,12736
18–29,Male,Prairies,Under $50k,Trades & natural resources,7479
18–29,Male,Prairies,Under $50k,Unemployed,9330
18–29,Male,Quebec,$50k–$100k,Management & professional,39607
18–29,Male,Quebec,$50k–$100k,Not in labour force,31270
18–29,Male,Quebec,$50k–$100k,Production & transport,16821
