age,weight
18,381740
19,381740
20,424168
21,424168
22,424168
23,424168
24,424168
25,469550
26,469550
27,469550
28,469550
29,469550
30,488824
31,488824
32,488824
33,488824
34,488824
35,490439
36,490439
37,490439
38,490439
39,490439
40,466103
41,466103
42,466103
43,466103
44,466103
45,444163
46,444163
47,444163
48,444163
49,444163
50,458267
51,458267
52,458267
53,458267
54,458267
55,516023
56,516023
57,516023
58,516023
59,516023
60,498669
61,498669
62,498669
63,498669
64,498669
65,428788
66,428788
67,428788
68,428788
69,428788
70,355803
71,355803
72,355803
73,355803
74,355803
75,240038
76,240038
77,240038
78,240038
79,240038
80,148161
81,148161
82,148161
83,148161
84,148161
85,122494
86,122494
87,122494
88,122494
89,122494
