age_band,gender,region,income,occupation_group,weight
18–29,Female,Midwest,$50k–$100k,Construction & maintenance,11281
18–29,Female,Midwest,$50k–$100k,Management & professional,493529
18–29,Female,Midwest,$50k–$100k,Military,996
18–29,Female,Midwest,$50k–$100k,Not in labor force,269874
18–29,Female,Midwest,$50k–$100k,Production & transport,121894
18–29,Female,Midwest,$50k–$100k,Sales & office,291801
18–29,Female,Midwest,$50k–$100k,Service,313537
18–29,Female,Midwest,$50k–$100k,Unemployed,62816
18–29,Female,Midwest,Over $100k,Construction & maintenance,18003
18–29,Female,Midwest,Over $100k,Management & professional,729206
18–29,Female,Midwest,Over $100k,Military,1550
18–29,Female,Midwest,Over $100k,Not in labor force,284004
18–29,Female,Midwest,Over $100k,Production & transport,121010
18–29,Female,Midwest,Over $100k,Sales & office,349162
18–29,Female,Midwest,Over $100k,Service,350590
18–29,Female,Midwest,Over $100k,Unemployed,58677
18–29,Female,Midwest,Under $50k,Construction & maintenance,11044
18–29,Female,Midwest,Under $50k,Management & professional,285206
18–29,Female,Midwest,Under $50k,Military,349
18–29,Female,Midwest,Under $50k,Not in labor force,396156
18–29,Female,Midwest,Under $50k,Production & transport,85414
18–29,Female,Midwest,Under $50k,Sales & office,226606
18–29,Female,Midwest,Under $50k,Service,319258
18–29,Female,Midwest,Under $50k,Unemployed,89648
18–29,Female,Northeast,$50k–$100k,Construction & maintenance,6407
18–29,Female,Northeast,$50k–$100k,Management & professional,313649
18–29,Female,Northeast,$50k–$100k,Military,519
18–29,Female,Northeast,$50k–$100k,Not in labor force,214129
18–29,Female,Northeast,$50k–$100k,Production & transport,52248
18–29,Female,Northeast,$50k–$100k,Sales & office,194284
18–29,Female,Northeast,$50k–$100k,Service,197553
18–29,Female,Northeast,$50k–$100k,Unemployed,50538
18–29,Female,Northeast,Over $100k,Construction & maintenance,12617
18–29,Female,Northeast,Over $100k,Management & professional,841112
18–29,Female,Northeast,Over $100k,Military,668
18–29,Female,Northeast,Over $100k,Not in labor force,333906
18–29,Female,Northeast,Over $100k,Production & transport,72771
18–29,Female,Northeast,Over $100k,Sales & office,335219
18–29,Female,Northeast,Over $100k,Service,328452
18–29,Female,Northeast,Over $100k,Unemployed,79189
18–29,Female,Northeast,Under $50k,Construction & maintenance,5617
18–29,Female,Northeast,Under $50k,Management & professional,143398
18–29,Female,Northeast,Under $50k,Military,113
18–29,Female,Northeast,Under $50k,Not in labor force,305500
18–29,Female,Northeast,Under $50k,Production & transport,35917
18–29,Female,Northeast,Under $50k,Sales & office,127073
18–29,Female,Northeast,Under $50k,Service,160455
18–29,Female,Northeast,Under $50k,Unemployed,60950
18–29,Female,South,$50k–$100k,Construction & maintenance,31192
18–29,Female,South,$50k–$100k,Management & professional,841589
18–29,Female,South,$50k–$100k,Military,10745
18–29,Female,South,$50k–$100k,Not in labor force,665988
18–29,Female,South,$50k–$100k,Production & transport,175163
18–29,Female,South,$50k–$100k,Sales & office,638420
18–29,Female,South,$50k–$100k,Service,540628
18–29,Female,South,$50k–$100k,Unemployed,132877
18–29,Female,South,Over $100k,Construction & maintenance,27178
18–29,Female,South,Over $100k,Management & professional,1237520
18–29,Female,South,Over $100k,Military,7165
18–29,Female,South,Over $100k,Not in labor force,686608
18–29,Female,South,Over $100k,Production & transport,160893
18–29,Female,South,Over $100k,Sales & office,681219
18–29,Female,South,Over $100k,Service,621279
18–29,Female,South,Over $100k,Unemployed,138392
18–29,Female,South,Under $50k,Construction & maintenance,21273
18–29,Female,South,Under $50k,Management & professional,420664
18–29,Female,South,Under $50k,Military,6261
18–29,Female,South,Under $50k,Not in labor force,965920
18–29,Female,South,Under $50k,Production & transport,137774
18–29,Female,South,Under $50k,Sales & office,478734
18–29,Female,South,Under $50k,Service,505014
18–29,Female,South,Under $50k,Unemployed,197719
18–29,Female,West,$50k–$100k,Construction & maintenance,17210
18–29,Female,West,$50k–$100k,Management & professional,411162
18–29,Female,West,$50k–$100k,Military,5035
18–29,Female,West,$50k–$100k,Not in labor force,384604
18–29,Female,West,$50k–$100k,Production & transport,90237
18–29,Female,West,$50k–$100k,Sales & office,338138
18–29,Female,West,$50k–$100k,Service,340724
18–29,Female,West,$50k–$100k,Unemployed,86802
18–29,Female,West,Over $100k,Construction & maintenance,24017
18–29,Female,West,Over $100k,Management & professional,981641
18–29,Female,West,Over $100k,Military,4957
18–29,Female,West,Over $100k,Not in labor force,523952
18–29,Female,West,Over $100k,Production & transport,140050
18–29,Female,West,Over $100k,Sales & office,548755
18–29,Female,West,Over $100k,Service,518275
18–29,Female,West,Over $100k,Unemployed,110151
18–29,Female,West,Under $50k,Construction & maintenance,13741
18–29,Female,West,Under $50k,Management & professional,210938
18–29,Female,West,Under $50k,Military,4438
18–29,Female,West,Under $50k,Not in labor force,473728
18–29,Female,West,Under $50k,Production & transport,56058
18–29,Female,West,Under $50k,Sales & office,202219
18–29,Female,West,Under $50k,Service,240098
18–29,Female,West,Under $50k,Unemployed,92510
18–29,Male,Midwest,$50k–$100k,Construction & maintenance,233903
18–29,Male,Midwest,$50k–$100k,Management & professional,354248
18–29,Male,Midwest,$50k–$100k,Military,7870
18–29,Male,Midwest,$50k–$100k,Not in labor force,212557
18–29,Male,Midwest,$50k–$100k,Production & transport,359362
18–29,Male,Midwest,$50k–$100k,Sales & office,199759
18–29,Male,Midwest,$50k–$100k,Service,213731
18–29,Male,Midwest,$50k–$100k,Unemployed,74789
18–29,Male,Midwest,Over $100k,Construction & maintenance,288067
18–29,Male,Midwest,Over $100k,Management & professional,554853
18–29,Male,Midwest,Over $100k,Military,5613
18–29,Male,Midwest,Over $100k,Not in labor force,297990
18–29,Male,Midwest,Over $100k,Production & transport,405480
18–29,Male,Midwest,Over $100k,Sales & office,269149
18–29,Male,Midwest,Over $100k,Service,286705
18–29,Male,Midwest,Over $100k,Unemployed,91889
18–29,Male,Midwest,Under $50k,Construction & maintenance,107865
18–29,Male,Midwest,Under $50k,Management & professional,190900
18–29,Male,Midwest,Under $50k,Military,3467
18–29,Male,Midwest,Under $50k,Not in labor force,319954
18–29,Male,Midwest,Under $50k,Production & transport,204322
18–29,Male,Midwest,Under $50k,Sales & office,136668
18–29,Male,Midwest,Under $50k,Service,180166
18–29,Male,Midwest,Under $50k,Unemployed,92348
18–29,Male,Northeast,$50k–$100k,Construction & maintenance,117872
18–29,Male,Northeast,$50k–$100k,Management & professional,218245
18–29,Male,Northeast,$50k–$100k,Military,4422
18–29,Male,Northeast,$50k–$100k,Not in labor force,192696
18–29,Male,Northeast,$50k–$100k,Production & transport,153172
18–29,Male,Northeast,$50k–$100k,Sales & office,127276
18–29,Male,Northeast,$50k–$100k,Service,158304
18–29,Male,Northeast,$50k–$100k,Unemployed,69402
18–29,Male,Northeast,Over $100k,Construction & maintenance,216909
18–29,Male,Northeast,Over $100k,Management & professional,643780
18–29,Male,Northeast,Over $100k,Military,3330
18–29,Male,Northeast,Over $100k,Not in labor force,351817
18–29,Male,Northeast,Over $100k,Production & transport,255494
18–29,Male,Northeast,Over $100k,Sales & office,292598
18–29,Male,Northeast,Over $100k,Service,291616
18–29,Male,Northeast,Over $100k,Unemployed,115599
18–29,Male,Northeast,Under $50k,Construction & maintenance,48378
18–29,Male,Northeast,Under $50k,Management & professional,90384
18–29,Male,Northeast,Under $50k,Military,1516
18–29,Male,Northeast,Under $50k,Not in labor force,283237
18–29,Male,Northeast,Under $50k,Production & transport,81765
18–29,Male,Northeast,Under $50k,Sales & office,72011
18–29,Male,Northeast,Under $50k,Service,101084
18–29,Male,Northeast,Under $50k,Unemployed,69854
18–29,Male,South,$50k–$100k,Construction & maintenance,441465
18–29,Male,South,$50k–$100k,Management & professional,580154
18–29,Male,South,$50k–$100k,Military,48348
18–29,Male,South,$50k–$100k,Not in labor force,519909
18–29,Male,South,$50k–$100k,Production & transport,554539
18–29,Male,South,$50k–$100k,Sales & office,387100
18–29,Male,South,$50k–$100k,Service,415370
18–29,Male,South,$50k–$100k,Unemployed,147762
18–29,Male,South,Over $100k,Construction & maintenance,499352
18–29,Male,South,Over $100k,Management & professional,963175
18–29,Male,South,Over $100k,Military,24333
18–29,Male,South,Over $100k,Not in labor force,653096
18–29,Male,South,Over $100k,Production & transport,600018
18–29,Male,South,Over $100k,Sales & office,514011
18–29,Male,South,Over $100k,Service,537681
18–29,Male,South,Over $100k,Unemployed,182226
18–29,Male,South,Under $50k,Construction & maintenance,259052
18–29,Male,South,Under $50k,Management & professional,288940
18–29,Male,South,Under $50k,Military,19660
18–29,Male,South,Under $50k,Not in labor force,691541
18–29,Male,South,Under $50k,Production & transport,362292
18–29,Male,South,Under $50k,Sales & office,259465
18–29,Male,South,Under $50k,Service,339150
18–29,Male,South,Under $50k,Unemployed,207058
18–29,Male,West,$50k–$100k,Construction & maintenance,235599
18–29,Male,West,$50k–$100k,Management & professional,308585
18–29,Male,West,$50k–$100k,Military,25312
18–29,Male,West,$50k–$100k,Not in labor force,315786
18–29,Male,West,$50k–$100k,Production & transport,259240
18–29,Male,West,$50k–$100k,Sales & office,218274
18–29,Male,West,$50k–$100k,Service,258812
18–29,Male,West,$50k–$100k,Unemployed,100108
18–29,Male,West,Over $100k,Construction & maintenance,371552
18–29,Male,West,Over $100k,Management & professional,811788
18–29,Male,West,Over $100k,Military,20121
18–29,Male,West,Over $100k,Not in labor force,535575
18–29,Male,West,Over $100k,Production & transport,425295
18–29,Male,West,Over $100k,Sales & office,417878
18–29,Male,West,Over $100k,Service,474017
18–29,Male,West,Over $100k,Unemployed,161048
18–29,Male,West,Under $50k,Construction & maintenance,103681
18–29,Male,West,Under $50k,Management & professional,148992
18–29,Male,West,Under $50k,Military,14825
18–29,Male,West,Under $50k,Not in labor force,361259
18–29,Male,West,Under $50k,Production & transport,134830
18–29,Male,West,Under $50k,Sales & office,112451
18–29,Male,West,Under $50k,Service,169694
18–29,Male,West,Under $50k,Unemployed,103462
30–44,Female,Midwest,$50k–$100k,Construction & maintenance,18498
30–44,Female,Midwest,$50k–$100k,Management & professional,692679
30–44,Female,Midwest,$50k–$100k,Military,639
30–44,Female,Midwest,$50k–$100k,Not in labor force,365489
30–44,Female,Midwest,$50k–$100k,Production & transport,156323
30–44,Female,Midwest,$50k–$100k,Sales & office,379001
30–44,Female,Midwest,$50k–$100k,Service,300811
30–44,Female,Midwest,$50k–$100k,Unemployed,45657
30–44,Female,Midwest,Over $100k,Construction & maintenance,14380
30–44,Female,Midwest,Over $100k,Management & professional,1980720
30–44,Female,Midwest,Over $100k,Military,1910
30–44,Female,Midwest,Over $100k,Not in labor force,380030
30–44,Female,Midwest,Over $100k,Production & transport,126176
30–44,Female,Midwest,Over $100k,Sales & office,518354
30–44,Female,Midwest,Over $100k,Service,260269
30–44,Female,Midwest,Over $100k,Unemployed,45253
30–44,Female,Midwest,Under $50k,Construction & maintenance,10035
30–44,Female,Midwest,Under $50k,Management & professional,244080
30–44,Female,Midwest,Under $50k,Military,11
30–44,Female,Midwest,Under $50k,Not in labor force,419938
30–44,Female,Midwest,Under $50k,Production & transport,118685
30–44,Female,Midwest,Under $50k,Sales & office,235446
30–44,Female,Midwest,Under $50k,Service,272709
30–44,Female,Midwest,Under $50k,Unemployed,85230
30–44,Female,Northeast,$50k–$100k,Construction & maintenance,7179
30–44,Female,Northeast,$50k–$100k,Management & professional,509516
30–44,Female,Northeast,$50k–$100k,Military,478
30–44,Female,Northeast,$50k–$100k,Not in labor force,246164
30–44,Female,Northeast,$50k–$100k,Production & transport,80557
30–44,Female,Northeast,$50k–$100k,Sales & office,246120
30–44,Female,Northeast,$50k–$100k,Service,234871
30–44,Female,Northeast,$50k–$100k,Unemployed,44386
30–44,Female,Northeast,Over $100k,Construction & maintenance,16221
30–44,Female,Northeast,Over $100k,Management & professional,1949001
30–44,Female,Northeast,Over $100k,Military,950
30–44,Female,Northeast,Over $100k,Not in labor force,352820
30–44,Female,Northeast,Over $100k,Production & transport,85588
30–44,Female,Northeast,Over $100k,Sales & office,454999
30–44,Female,Northeast,Over $100k,Service,260605
30–44,Female,Northeast,Over $100k,Unemployed,58427
30–44,Female,Northeast,Under $50k,Construction & maintenance,5255
30–44,Female,Northeast,Under $50k,Management & professional,170923
30–44,Female,Northeast,Under $50k,Military,268
30–44,Female,Northeast,Under $50k,Not in labor force,350324
30–44,Female,Northeast,Under $50k,Production & transport,61594
30–44,Female,Northeast,Under $50k,Sales & office,153220
30–44,Female,Northeast,Under $50k,Service,240165
30–44,Female,Northeast,Under $50k,Unemployed,81418
30–44,Female,South,$50k–$100k,Construction & maintenance,39960
30–44,Female,South,$50k–$100k,Management & professional,1358697
30–44,Female,South,$50k–$100k,Military,7329
30–44,Female,South,$50k–$100k,Not in labor force,834987
30–44,Female,South,$50k–$100k,Production & transport,217882
30–44,Female,South,$50k–$100k,Sales & office,761581
30–44,Female,South,$50k–$100k,Service,562880
30–44,Female,South,$50k–$100k,Unemployed,114560
30–44,Female,South,Over $100k,Construction & maintenance,33833
30–44,Female,South,Over $100k,Management & professional,3480063
30–44,Female,South,Over $100k,Military,9601
30–44,Female,South,Over $100k,Not in labor force,855823
30–44,Female,South,Over $100k,Production & transport,182999
30–44,Female,South,Over $100k,Sales & office,982335
30–44,Female,South,Over $100k,Service,468152
30–44,Female,South,Over $100k,Unemployed,108953
30–44,Female,South,Under $50k,Construction & maintenance,28103
30–44,Female,South,Under $50k,Management & professional,500883
30–44,Female,South,Under $50k,Military,2654
30–44,Female,South,Under $50k,Not in labor force,1104451
