age,weight
18,3637195
19,3309746
20,3669628
21,3859957
22,4093221
23,4278121
24,4265029
25,4211623
26,4230074
27,4260321
28,4366845
29,4368087
30,4606300
31,4496603
32,4604488
33,4649901
34,4584743
35,4576677
36,4505404
37,4415553
38,4459323
39,4334795
40,4556829
41,4359327
42,4380322
43,4370636
44,4137630
45,4086201
46,3936821
47,3866118
48,3861904
49,3809680
50,3967561
51,3944881
52,4196162
53,4209235
54,4021712
55,3858385
56,3807037
57,3910342
58,4126059
59,4163772
60,4359025
61,4236147
62,4328148
63,4246566
64,4162612
65,3962834
66,3874363
67,3757951
68,3644697
69,3500281
70,3451866
71,3213533
72,3101028
73,2918235
74,2836455
75,2721302
76,2645137
77,2019198
78,1836508
79,1811608
80,1781498
81,1472163
82,1318245
83,1151227
84,1021780
85,923064
86,793952
87,702578
88,619874
89,443013
90,307239
91,95595
92,273250
93,341179
94,738338
95,285484
96,7302
